symbol,name,reportDate,fiscalDateEnding,estimate,currency,timeOfTheDay
ASBRF,ASBRF,2026-01-16,2025-12-31,43.48,USD,
ASKLF,ASKLF,2026-01-16,2025-11-30,15.61,USD,
AWTRF,AWTRF,2026-01-16,2025-12-31,,USD,
BINI,BOLLINGER INNOVATIONS INC,2026-01-16,2025-12-31,,USD,
BOKF,BOK FINANCIAL CORPORATION,2026-01-16,2025-12-31,2.13,USD,post-market
FRCB,FRCB,2026-01-16,2025-12-31,0,USD,
HIFS,HINGHAM INSTITUTION FOR SAVINGS,2026-01-16,2025-12-31,,USD,
LPSIF,LPSIF,2026-01-16,2025-12-31,,USD,
MTB,M & T BANK CORP,2026-01-16,2025-12-31,4.44,USD,pre-market
MTB-PH,MTB-PH,2026-01-16,2025-12-31,,USD,
MTB-PJ,MTB-PJ,2026-01-16,2025-12-31,,USD,
PNC,PNC FINANCIAL SERVICES GROUP INC,2026-01-16,2025-12-31,4.23,USD,pre-market
RF,REGIONS FINANCIAL CORP,2026-01-16,2025-12-31,0.61,USD,pre-market
RFIL,RF INDUSTRIES LTD,2026-01-16,2025-10-31,0.08,USD,
RJET,MESA AIR GROUP INC,2026-01-16,2025-12-31,,USD,
STT,STATE STREET CORP,2026-01-16,2025-12-31,2.82,USD,pre-market
TPET,TRIO PETROLEUM CORPORATION,2026-01-16,2025-10-31,,USD,
WIT,WIPRO LTD,2026-01-16,2025-12-31,0.04,USD,pre-market
AWEVF,AWEVF,2026-01-19,2025-12-31,,USD,
BKAHF,BKAHF,2026-01-19,2025-12-31,,USD,
CEFC,CEFC,2026-01-19,2025-12-31,,USD,
CNAF,CNAF,2026-01-19,2025-12-31,,USD,
COF-PI,COF-PI,2026-01-19,2025-12-31,,USD,
COF-PJ,COF-PJ,2026-01-19,2025-12-31,,USD,
COF-PK,COF-PK,2026-01-19,2025-12-31,,USD,
COF-PL,COF-PL,2026-01-19,2025-12-31,,USD,
COF-PN,COF-PN,2026-01-19,2025-12-31,,USD,
COSO,COASTALSOUTH BANCSHARES INCORPORATED,2026-01-19,2025-12-31,0.62,USD,
DIT,AMCON DISTRIBUTING COMPANY,2026-01-19,2025-12-31,,USD,
ENBP,ENBP,2026-01-19,2025-12-31,,USD,
